"","OBJECTID_1","AGE","RACE","SEX","TYPE","DATE_","UNIT","ACTION","STATUS","LONG_","LAT"
"1",82,30,"Asian","Male","NOT CLASSIFIED",1280707200000,"District 14","ACCEPT","Closed",-75.167048,40.06051
"2",233,29,"Asian","Female","LACK OF SERVICE",1279497600000,"District 2","ACCEPT","Closed",-75.067928,40.04609
"3",334,24,"Asian","Female","LACK OF SERVICE",1.2312e+12,"District 26","REJECT","Closed",-75.13446,39.97902
"4",376,20,"Asian","Female","ABUSE OF AUTHORITY",1265068800000,"District 35","ACCEPT","Open",-75.124243,40.040414
"5",408,36,"Asian","Male","PHYSICAL ABUSE",1258675200000,"District 4","ACCEPT","Open",-75.158782,39.920406
