complaint_id,date_received,district_column,general_cap_classification,summary,incident_date_extract,incident_time_extract,objectid,my_column,complaint_id_1,complainant_sex,complainant_race,complainant_age,objectid_1
21-0446,9/16/2021 4:00:00,16,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 9-14-21 at 2:06 AM, they had just parked their vehicle, when an officer approached them and asked that they get back into their vehicle. After the officer searched the complainant, they asked them to sit in the patrol car while they searched the complainantâs vehicle. The complainant states that the officer returned to the patrol car, questioned them about the vehicle they were driving, and then informed them that the license plate was in stolen status. The complainant states that they were released from custody with tickets totaling $931.00. When the complainant returned to their car, they found that their vehicle had been damaged by the officer.",2021-09-14,02:06:00,471,1600,21-0446,Male,Black,32,499
21-0447,9/16/2021 4:00:00,14,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 9-7-21 at 9:18 PM, they were stopped by police. The complainant states that the officers questioned them about having any weapons and when they said no, the officer asked why they had a box cutter in the doorâs panel. The complainant told the officer that they worked in construction and it was a work item. The complainant states that the officer then asked if they had ever been arrested and they said yes, for marijuana. When the officer came back, the officer ordered the complainant to step out of their car. The complainant asked the officer why and the officer said that they had lied about their background along with having the box cutter. The officers then searched their vehicle.",2021-09-07,21:18:00,472,1400,21-0447,Male,Black,37,500
21-0448,9/17/2021 4:00:00,22,LACK OF SERVICE,"According to the complainant, while in the confines of the 22nd District, on 9-4-21 at 8:00 AM, their family member was involved in an accident. The complainant states that they witnessed officers ignore the combative and erratic behavior of the other driver, whom they believe was visibly under the influence of alcohol. The complainant states that when they asked the officers why the other driver was not being tested for alcohol or being arrested, the officer gave them several different excuses. The complainant states that when a supervisor arrived, they told them it could have been worse. The other driver left without any further action by police. The complainant further states that the accident report stated that the other driver was fatigued but there are other descriptions that could have been used but fatigue was not one of them.",2021-09-04,08:00:00,473,2200,21-0448,Female,Black,53,501
21-0449,9/20/2021 4:00:00,35,LACK OF SERVICE,"According to the complainant, while in the confines of the 35th District, on 8-4-21 at 11:55 AM, a trash truck struck their parked vehicle. The complainant states that the trash truck left the scene and did not return until police were on location taking their report. When the driver of the truck returned, they admitted to striking the car and that they were going to return to the scene once they were finished with their rounds and had lunch. The complainant states that the report does not reflect that the driver left the scene, that there were no citations written and the report does not contain any vehicle insurance information from the striking vehicle.",2021-08-04,11:55:00,474,3500,21-0449,Male,White,66,502
21-0450,9/20/2021 4:00:00,19,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 9-17-21 at 7:30 PM, while in the confines of the 19th District, officers violated departmental policies. Officers âLive-Stoppedâ their vehicle. The complainant was not on location but Officers stated that their vehicle was being operated by an unlicensed driver. The complainant states that their friend, an unlicensed driver, was not operating the vehicle because the vehicle was not running and there was no key in the ignition. The complainant states that their friend was also detained in the back of the patrol car.",2021-09-17,19:30:00,475,1900,21-0450,Female,Black,53,503
21-0451,9/21/2021 4:00:00,35,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 9-16-21 at 11:30 PM, while in the confines of the 35th District, they were pulled over by police. The complainant states that they were told by the officers to exit their vehicle, then they were handcuffed and placed in the back of a car, while the officers searched the complainants car. The complainant states they were improperly searched and that property was removed from the inside console of their car and not returned. One of the officers told the complainant to get the f*ck out of here.",2021-09-16,23:30:00,476,3500,21-0451,Male,Black,34,504
21-0452,9/22/2021 4:00:00,2,LACK OF SERVICE,"According to the complainant, on 9-6-21, while in the confines of the 2nd District, they were involved in a landlord/tenant issue. The complainant strongly believes that the other party involved made a personal phone call to an officer, who arrived within 5 minutes. When the complainant called for police, no one showed up for a while. The complainant also states that on a separate occasion, the same individual called the same officer, who responded quickly. The complainant believes that the officer responded to both calls by way of a personal call, verses a 911 call.",2021-09-06,NA,477,0200,21-0452,Male,White,81,505
21-0453,9/22/2021 4:00:00,24,CIVIL RIGHTS COMPLAINT,"According to the complainant, on 6-2-21, while in the confines of the 24th District, they were stopped by an officer on a bicycle asking, âWho has guns out here?â The complainant denied having any weapons. The complainant states that they were then placed in handcuffs when another officer accused them of being involved in illegal drug activity. While handcuffed, the complainant denied being involved in anything and told the officers that they had nothing on them. When one of the officers did not find anything, after searching them, the officer assumed that the complainant was hiding drugs in their rectum. The complainant states that the officer made them squat down and cough while they proceeded to put their hands in the complainants shorts. The complainant states that they were the victim of racial profiling and sexual harassment.",2021-06-02,NA,478,2400,21-0453,Male,Black,46,506
21-0454,9/22/2021 4:00:00,35,CRIMINAL ALLEGATION,"According to the complainant, on 11-24-20, they were arrested for weapons violations. The complainant states that police searched their safe without a search warrant. The complainant further states that a large amount of money was seized but only a portion of the money was recorded on the property receipt.",2020-11-24,NA,479,3500,21-0454,Male,Black,41,507
21-0455,9/22/2021 4:00:00,9,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 8-28-21 at 6:48 PM, while in the confines of the 9th District, they were stopped by police. At the time, the complainant was with their children, two of whom have a disability. The complainant states that the officer acted unprofessional and lacked empathy in regards to their childrenâs needs. The complainant states that it was raining at the time and that the officer threatened to make them walk home but later allowed them to leave saying that it was due to âmy main man in the back seat,â referring to one of the children. The complainant states that the officer did not issue them a ticket but they later discovered that two citations were mailed to their old address.",2021-08-28,18:48:00,480,0900,21-0455,Female,Black,43,508
21-0469,9/30/2021 4:00:00,35,LACK OF SERVICE,"According to the complainant, on 9-27-21 at 4:00 AM, while in the confines of the 35th District, they were involved in an auto accident. An officer responded and took a report. The complainant states that the operator of the striking vehicle did not have a driverâs license and was in possession of a fake insurance card but the officer allowed them to leave. The complainant states that now they cannot get their vehicle fixed or recover any expenses for medical bills.",2021-09-27,04:00:00,494,3500,21-0469,Male,Black,43,523
21-0456,9/22/2021 4:00:00,NA,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 8-17-21, while in another jurisdiction they were involved in an auto accident and their vehicle was towed to an auto repair shop in Philadelphia. The complainant went to the repair shop to look for their vehicle, but could not find it. The complainant attempted to report their vehicle stolen to 15th District officers but was told that they would need to report it from the other jurisdiction. When the complainant filed their report with the other jurisdiction, they were told that the Philadelphia Police sent them on a rat chase. The complainant later called 911, while in the confines of the 8th District. The officer that responded, told them that they needed to go to the 15th District to speak to a supervisor. When the complainant went to the 15th District, an unknown officer refused to allow them to speak to a supervisor and would not let them file a report. The complainant states that it wasnât until shift change, two and a half hours later, that another officer checked in with them and finally took a report.",2021-08-17,NA,481,NA,21-0456,Female,Black,63,509
21-0457,9/24/2021 4:00:00,12,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 9-22-21 at 1:09 PM, while in the confines of the 12th District, they witnessed a patrol car make a left turn on a red light. The complainant states that the officer did not have their lights or sirens on at the time.",2021-09-22,13:09:00,482,1200,21-0457,Male,,37,510
21-0458,9/23/2021 4:00:00,15,LACK OF SERVICE,"According to the complainant, sometime in November of 2016, her family member was assaulted while within the confines of the 15th District. The complainant states that they went to the 15th District and reported the assault to police but nothing was ever done.",NA,NA,483,1500,21-0458,Female,Black,40,511
21-0459,9/24/2021 4:00:00,39,PHYSICAL ABUSE,"According to the complainant, on 9-22-21 at 7:30 PM, while within the confines of the 39th District, their client was assaulted by police and caused them to become involved in an accident. The complainant states that their client lost two parts of their fingers, among other things, during their interaction with police.",2021-09-22,19:30:00,484,3900,21-0459,Male,Black,,512
21-0460,9/28/2021 4:00:00,12,CIVIL RIGHTS COMPLAINT,"According to the complainant, on 9-24-21 at 10:32 AM, while in the confines of the 12th District, they were racially profiled and improperly stopped by police for failing to yield. The complainant asked the officer for a supervisor. When the supervisor arrived, they had an attitude towards them, so they discontinued the conversation.",2021-09-24,10:32:00,485,1200,21-0460,Male,Black,59,514
21-0461,9/28/2021 4:00:00,15,LACK OF SERVICE,"According to the complainant, on 9-22-21 at 5:45 PM, while in the confines of the 15th District, their family member was struck by a neighborâs vehicle. The complainant states officers did not watch video evidence, the supervisor dismissed the incident and took no action. The complainant also states that both officers and the supervisor seemed more worried about their neighbor than their injured family member.",2021-09-22,17:45:00,486,1500,21-0461,Female,White,42,515
21-0462,9/28/2021 4:00:00,25,LACK OF SERVICE,"According to the complainant, on 8-21-21 at 11:00 PM, while in the confines of the 25th District, they did not receive proper service from an officer assigned to the Highway Patrol Unit. They were assaulted by individuals and their car tire was slashed while on the highway. The officer arrived and acted as if they were on the defensive side. The complainant asked the officer to call for a supervisor. The officer told them to call 911; however, the officerâs partner did call for a supervisor. At a later date, the complainant contacted the district to find out why they did not hear anything. The complainant was told that their report was written as a vandalism, not as an assault.",2021-08-21,23:00:00,487,2500,21-0462,Female,Black,50,516
21-0463,9/28/2021 4:00:00,35,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 9-15-21 at 6:30 PM, while in the confines of the 35th District, they were stopped by police for no reason. The officers pulled them out of their vehicle. They were handcuffed and detained in the back of an unmarked police car. The officers searched their vehicle without permission. The officers tore their vehicle apart and left it in disarray. The complainant states that the officers kept referring to them as the person who ran from them in a previous case. The officers did not find anything, so they released them and told them to have a nice day.",2021-09-15,18:30:00,488,3500,21-0463,Male,Black,55,517
21-0464,9/28/2021 4:00:00,18,PHYSICAL ABUSE,"According to the complainant, on 8-26-21, 16th District officers transported them to the 18th District due to a warrant that was issued by their parole officer. The complainant states that while being held for 3 days at the 18th District, their rights were violated, they were not fed properly, all of their requests were ignored and that they were verbally and physically abused by officers. The complainant states that on 8-27-21, several officers entered their cell room and assaulted them. The complainant further states that a stun gun was pointed at them followed by punches and kicks. The complainant also states that they were never taken to a hospital.",2021-08-26,NA,489,1800,21-0464,Male,Black,33,518
21-0465,9/28/2021 4:00:00,18,CIVIL RIGHTS COMPLAINT,"According to the complainant, on 9-24-21 at 8:08 PM, while in the confines of the 18th District, they were pulled over by police for a traffic violation. After running their information, one of the officers told the complainant, âOur computer shows that you have a revoked license to carry a firearm. Do you have a gun with you?â When the complainant responded, âNo,â one of the officers said, âI need you to get out of the car now!â The complainant complied. An officer turned them around aggressively and patted them down. After answering many of the officers questions, the complainant told them that he would not answer any more and only talks to lawyers. The complainant was later placed in handcuffs and their vehicle searched without consent. The complainantâs passenger was ordered out of the vehicle before the officers proceeded with the search. The complainant later received a ticket and believes that this incident took place due to their race.",2021-09-24,20:08:00,490,1800,21-0465,Male,Black,47,519
21-0466,9/29/2021 4:00:00,12,CIVIL RIGHTS COMPLAINT,"According to the complainant, on 7-27-21 at 8:33 PM, while in the confines of the 12th District, they were stopped by police. The complainant states that they were picked on because of their race. The complainant states that the officers lied and believes there to be cameras in the area that could prove it.",2021-07-27,20:33:00,491,1200,21-0466,Male,Black,61,520
21-0467,9/30/2021 4:00:00,9,LACK OF SERVICE,"According to the complainant, on 9-28-21 at 3:42 PM, while in the confines of the 9th District, they noticed an individual who needed assistance and asked bike officers nearby to assist. The complainant states that the officers told them to help that individual and rode off. The complainant believes that one of the officers was a supervisor because they wore a white shirt.",2021-09-28,15:42:00,492,0900,21-0467,Male,White,29,521
21-0468,9/30/2021 4:00:00,25,LACK OF SERVICE,"According to the complainant, on 9-15-21 at 4:00 AM, they arrived at the 25th District to file a report in reference to their family memberâs involvement in a situation that should have been forwarded to an investigative unit. The complainant states that the officer who prepared their report did not prepare it correctly and therefore, it was never forwarded to the appropriate investigative unit.",2021-09-15,04:00:00,493,2500,21-0468,Female,,,522
21-0470,9/30/2021 4:00:00,6,LACK OF SERVICE,"According to the complainant, on 4-14-21, their family member was murdered and a homicide detective was assigned to the case. The assigned detective told the complainant and their family that they believed it was a case of mistaken identity. However, the detective would repeatedly ask if their family member was into anything. After the detective told the complainant that their family members phone was being processed as evidence, one of the complainantâs family members received a phone call from the very same phone. On one occasion, after sending the detective a text and receiving no response, the detective informed them that the reason was because there were a lot of murders that had taken place over that weekend. The complainant states that they have many issues with the detective in regards to their attitude and professionalism.",2021-04-14,NA,495,0600,21-0470,Female,Black,42,524
21-0471,9/30/2021 4:00:00,25,LACK OF SERVICE,"According to the complainant, on 8-27-21 at 4:24 PM, their family member was involved in an auto accident in the confines of the 25th District. Police responded. While at the scene, the complainant noticed that the operator of the other vehicle was visibly intoxicated and therefore, requested that the officer conduct a sobriety test. The officer told the complainant that they did not see a need for a sobriety test. A few weeks later, the complainant reviewed the auto accident report and noticed several errors. The complainant states that the name, policy number and license plate number of the other vehicle involved were incorrect and the report number provided by the officer was also wrong. The complainant states that because of the errors, there was a delay dealing with the insurance company.",2021-08-27,16:24:00,496,2500,21-0471,Female,Black,,525
21-0472,9/30/2021 4:00:00,15,LACK OF SERVICE,"According to the complainant, on 9-28-21 at 2:00 PM, while in the confines of the 15th District, they were involved in an accident. The complainant states that the officer who responded to the accident made a joke about people not knowing how to drive their cars. The complainant states that the officer showed no compassion or concern about the well-being of those involved in the accident, instead they were more concerned about checking their insurance. The complainant also states that the officer was not wearing a mask.",2021-09-28,14:00:00,497,1500,21-0472,Male,White,29,526
21-0473,10/5/2021 4:00:00,12,CIVIL RIGHTS COMPLAINT,"According to the complainant, on 10-22-20 at 5:00 PM, while in the confines of the 12th District, they were taken into police custody and placed in the patrol wagon with seven other people. The complainant states that Covid-19 protocols were not followed; none of the individuals were wearing masks in an enclosed space for over five hours. The complainant asked for a mask and the officers laughed and told them to get Covid-19. The officers all wore masks. The complainant was transported to 8th and Race Streets, where they told investigators that that they were not making a statement without their lawyer and the investigators told them that they had no choice but to be interviewed, violating their civil rights.",2020-10-22,17:00:00,498,1200,21-0473,Male,Black,45,527
21-0474,10/6/2021 4:00:00,1,UNPROFESSIONAL CONDUCT,"According to the complainant, on 10-1-21 at 1:08 PM, while in the 1st District, they were stopped by police. The complainant states that they were involved in a road rage incident with an officer; the officer followed them for about ten miles before stopping them in an unsafe area of the highway. The complainant states that when the officer approached their vehicle, the officer looked as if they had not slept in days; they were clearly enraged and appeared to be having some sort of a breakdown. The complainant states that the officer spoke to them in an unprofessional manner and improperly issued them a ticket. When the complainant attempted to speak to the officer, the officer threw the ticket to them, before storming off and refusing to talk to them.",2021-10-01,13:08:00,499,0100,21-0474,Male,White,41,528
21-0475,10/4/2021 4:00:00,6,PHYSICAL ABUSE,"According to the complainant, they were alerted by the public via a video found on TikTok that on 12-31-20, a male was treated unprofessionally and physically abused by an officer assigned to the 6th District. The complainant states the officer is seen on the video confronting the male in an aggressive and hostile manner. The complainant states that the officer continuously followed the male, even after being asked to be left alone. The complainant additionally states that at one point the officer knocked the male down to the ground.",2020-12-31,NA,500,0600,21-0475,Male,,,529
21-0476,10/6/2021 4:00:00,25,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 10-5-21 at 4:45 PM, while in the confines of the 25th District, their family memberâs landlords and their attorney entered their apartment unannounced to change the locks. The complainant states that their family member was assaulted by the attorney and later arrested for having a weapon that they were licensed to have. The complainant states that the officers were unprofessional and never provided them with an interpreter.",2021-10-05,16:45:00,501,2500,21-0476,Female,Black,51,530
21-0477,10/6/2021 4:00:00,17,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 10-3-21 at 12:00 AM, they were verbally abused and departmental policies were violated by an unknown officer while in the confines of the 17th District. The complainant states that they were almost struck by a patrol car while riding their bicycle. The complainant additionally states that the officer, who did not have their lights on, did not stop at a stop sign and yelled an inappropriate comment at the complainant.",2021-10-03,00:00:00,502,1700,21-0477,Male,,,531
21-0478,10/12/2021 4:00:00,25,VERBAL ABUSE,"According to the complainant, on 9-29-21 at 11:30 AM, while in the confines of the 25th District, they attempted to obtain information and advocate for a rape survivor by calling the Special Victims Unit. A supervisor answered but repeatedly cut them off when they attempted to speak. The complainant states that at one point the sergeant became aggressive and said, âWell, you donât have to listen to you,â implying that the way they spoke bothered them. The complainant also states that the sergeant tried to deny the survivor access to the Special Victims Unit, until the initial report was investigated.",2021-09-29,11:30:00,503,2500,21-0478,Female,White,44,532
21-0479,10/8/2021 4:00:00,12,FALSIFICATION,"According to the complainant, on 3-27-21 at 2:40 AM, while in the confines of the 12th District, 911 was called because their significant other was beating on them with a gun and attempting to set the house on fire. When officers arrived, the complainant opened the window and screamed at the officers to come in and get them but the officers kept telling them to come out instead. After about 3 minutes, and seeing that their significant other was attempting to set the house on fire, the complainant jumped out of the window and ran towards the officers. The complainant screamed at the officers to go in and get their family member out. When the officers kicked the door down they encountered the complainants significant other with a gun pointed at them and screamed âgun, gun,â then backed out, never making it inside. The complainant states that they continuously screamed at the officers to get their family member out but the officers refused. The complainant broke away from the officers and ran into the burning house to save their family member. The complainant further states that the officers took credit, on television, for rescuing them when they didnât.",2021-03-27,02:40:00,504,1200,21-0479,Female,Black,63,533
21-0481,10/13/2021 4:00:00,25,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 10-6-21, while in the confines of the 25th District, they received a phone call from a detective, asking that they bring their firearm to them for a shooting investigation. When the complainant arrived, they were informed that they were being detained and the detective refused to tell them why. The complainant states that at first, the detective told them they were under arrest. When the camera was turned on, they told them that if they didnât sign a piece of paper, they would be under arrest and their kids would be taken away. The complainant gave a statement and was told they would be able to leave because they had cooperated. The complainant states the detective then said that they had to give them their phone or they would have to stay. The complainant states that they told the detective that they did not have their phone and after two hours of trying multiple ways of getting their phone to them, they said they would release them, if they promised to bring the phone to them. The complainant promised to give them the phone and was released. The complainant states that the detective came to their house later that evening and keeps calling their phone and harassing them.",2021-10-06,NA,506,2500,21-0481,Female,Black,33,535
21-0482,10/13/2021 4:00:00,15,LACK OF SERVICE,"According to the complainant, on 10-2-21, while in the confines of the 15th District, they called 911 due to people trespassing and dealing drugs. The complainant states that the responding officer told them that they were sick of them calling.",2021-10-02,NA,507,1500,21-0482,Female,,,536
21-0483,10/13/2021 4:00:00,26,PHYSICAL ABUSE,"According to the complainant, on an unspecified date, officers physically evicted them from their residence without any notice or court documentation.",NA,NA,508,2600,21-0483,Male,White,46,537
21-0484,10/13/2021 4:00:00,15,UNPROFESSIONAL CONDUCT,"According to the complainant, on 10-7-21 at 8:00 PM, while in the confines of the 15th District, four officers stopped their family member and searched them for a gun. The complainant states that the officers called them prejudice and continued to do so even after the complainant informed them of their spouseâs race. The complainant additionally states that the officers refused to provide them with their names or badge numbers.",2021-10-07,20:00:00,509,1500,21-0484,Male,Latino,56,538
21-0485,10/14/2021 4:00:00,NA,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 10-5-21 at 6:15 AM, while in the confines of the 22nd, officers entered their home to perform a body search. The complainant states that the officers damaged their personal property. The complainant states that the officers intentionally stepped on a bottle of lighter fluid causing it to spill over several of their belongings and damaging them. The complainant also states that they were never provided with a copy of the search warrant.",2021-10-05,06:15:00,510,NA,21-0485,Female,Black,37,539
21-0486,10/13/2021 4:00:00,2,LACK OF SERVICE,"According to the complainant, in the week of 9-27-21, while in the confines of the 2nd District, they went to the district to have a PFA served. The complainant states that they spoke with an officer, who aggressively argued with them, stating that it was already served and asked why they needed it served again. The complainant spoke to a supervisor, who also stated that it had been already served. The complainant states that when they went back to the courthouse, they were informed that the PFA had not been served.",2021-09-27,NA,511,0200,21-0486,Female,Black,34,540
21-0487,10/20/2021 4:00:00,25,LACK OF SERVICE,"According to the complainant, on 1-1-21 at 1:20 PM, while in the confines of the 25th District, their family member was the victim of a hit and run. The complainant states police did not properly investigate their family memberâs accident. The complainant states that their family suffered severe injuries.",2021-01-01,13:20:00,512,2500,21-0487,Female,,,541
21-0488,10/15/2021 4:00:00,6,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 10-11-21 at 6:00 PM, while in the confines of the 6th District, they were stopped by police. The complainant states that the officers wrote âRTSâ on their tickets, instead of asking them to sign the tickets.",2021-10-11,18:00:00,513,0600,21-0488,Male,White,42,543
21-0489,10/15/2021 4:00:00,15,LACK OF SERVICE,"According to the complainant, on 10-1-21 at 1:36 PM, while in the confines of the 15th District, they were involved in an auto accident and police were called. The complainant states that the responding officer improperly prepared the report. Over a week later, the complainant attempted to speak to the officer about the report but the officer sent another individual to inform them that they will not change the report because the complainant was at fault.",2021-10-01,13:36:00,514,1500,21-0489,Male,White,51,544
21-0490,10/18/2021 4:00:00,15,PHYSICAL ABUSE,"According to the complainant, on 10-10-21 at 5:00 AM, while in the confines of the 15th District, police arrived at their clientâs residence with a warrant for a family member missed a court date. Officers rushed into the home and screamed at the family to sit down and shut up. The complainant states that her client only speaks Spanish and did not understand why officers were in her home. The complainant states that an officer grabbed their client aggressively by the shoulder and caused them to later seek medical attention for pain. The complainant also states that the family in the home are traumatized due to this incident.",2021-10-10,05:00:00,515,1500,21-0490,Female,Latino,,545
21-0491,10/20/2021 4:00:00,12,LACK OF SERVICE,"According to the complainant, on 10-16-21 at 3:30 PM, while in the confines of the 12th District, they were assaulted and robbed in a supermarket. The complainant states that the officer was able to locate the offenders and found their phone with their EBT card but not their credit card. The complainant states that they told the officer they wanted to press charges but the officer told them that there was not anything they could do, since they found their phone and card next to the car. The complainant then mentioned that they had been assaulted in the store and the officer told them that they had to file a private criminal complaint.",2021-10-16,15:30:00,516,1200,21-0491,Female,Black,37,547
21-0492,10/20/2021 4:00:00,3,LACK OF SERVICE,"According to the complainant, on 10-18-21 at 4:30 PM, while in the 3rd District, police were called to their home because of a domestic disturbance. The offender made numerous threats towards the complainant in front of the officers. The complainant states that they asked the officers for the offenderâs information so that they could obtain a protection order but the officers said that they did not have the offenderâs information.",2021-10-18,16:30:00,517,0300,21-0492,Male,Latino,40,548
21-0493,10/20/2021 4:00:00,24,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 10-12-21 at 4:15 PM, they were improperly searched by a 25th District officer while in the confines of the 24th District. The complainant was stopped by police and told to empty their pockets. The officer proceeded to search the complainant without their permission. The complainant was handcuffed, placed in the back of a patrol car and driven to another location.",2021-10-12,16:15:00,518,2400,21-0493,Male,Latino,,549
21-0494,10/21/2021 4:00:00,6,CIVIL RIGHTS COMPLAINT,"According to the complainant, on 10-20-21 at 10:10 AM, while in the confines of 6th District, they were pulled over by police. The complainant stated that they believe that the same officer has previously sat outside their apartment and stopped them because they of their race and hairstyle. The complainant states that the officer was very unprofessional towards them, even laughing at them when they issued a ticket.",2021-10-20,10:10:00,519,0600,21-0494,Male,Black,25,550
21-0495,10/25/2021 4:00:00,12,VERBAL ABUSE,"According to the complainant, on 10-10-21 at 12:00 PM, while in the confines of the 12th District, they called the 12th District to inquire about a video they saw online, which involved an officer. The complainant spoke to an officer who informed them that they could not provide them with any information and asked if they would like to speak to a supervisor; the complainant said, âyes.â The complainant states that they then spoke with a supervisor, who also told them that they could not provide any information. The complainant states that the conversation with the supervisor became heated and that the supervisor threatened to come to their home and arrest them for disorderly conduct. The complainant requested their name and badge number, but they refused to provide it.",2021-10-10,12:00:00,520,1200,21-0495,Female,White,55,551
25-0683,12/12/2025 5:00:00,8,LACK OF SERVICE,"According to the complainant, on 8-26-25, while in the confines of the 8th District, they did not receive proper service from an 8th District officer. They were involved in an auto accident. The officer responded and took the report. The complainant states when they viewed the report, they noticed that it was not accurately written. The complainant states they went to the district on multiple occasions to correct the report with negative results.",2025-08-26,NA,521,0800,25-0683,Female,Latino,31,552
21-0496,10/25/2021 4:00:00,7,FALSIFICATION,"According to the complainant, on 6-14-20 at 1:45 PM, while in the confines of the 7th District, they stopped a person from breaking into their vehicle and called 911. The complainant states that the responding officer took their report, told them that a detective would be in touch with them and that their vehicle would be held for prints. The complainant went to the detective division and spoke to a detective, who informed them that the report does not match with what they said happened. The complainant later received an email from the detective informing them that the case was closed with no charges. The complainant states that when they received a copy of the report, they found that the officer wrote everything the offender said instead of what they said. The complainant further states that another report was made by another officer, who they feel fabricated the report, because they never spoke to the officer.",2020-06-14,13:45:00,522,0700,21-0496,Male,White,,553
21-0497,10/25/2021 4:00:00,22,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 10-13-21 at 12:00 PM, while in the confines of the 22nd District, their property was the subject of an improper search and seizure, and departmental policies were violated by unknown officers. The complainant states they were involved in a road rage incident with an unknown person. During the incident, their firearm was visible, but was never pointed at the other driver; however, the driver called police. The complainant parked their vehicle and went into their place of employment. Officers arrived and towed their vehicle without telling them. Officers got a search warrant for the vehicle and confiscated their firearm. The complainant states that they were never interviewed, not given the opportunity to give a statement and never received a property receipt.",2021-10-13,12:00:00,523,2200,21-0497,Female,Latino,33,554
21-0498,10/25/2021 4:00:00,39,HARASSMENT,"According to the complainant, on an unspecified date, a supervisor from the 39th District, represented themselves as an agent of the Philadelphia Police Department when making derogatory statements about the complainant to their new employer. The complainant states they have previously worked under this same supervisor, during which time, they were subjected to conditions that caused them to seek employment elsewhere. The complainant states that since their resignation, the supervisor continues to harass them and abuse their authority.",NA,NA,524,3900,21-0498,Male,,,555
25-0669,12/5/2025 5:00:00,24,PHYSICAL ABUSE,"According to the complainant, on 11-14-25 at 3:32 PM, while in the confines of the 24th District, departmental policy was violated by a 24th District officer. They were stopped by police officers. The complainant reports that they were forcibly removed from their vehicle, struck by the officers, and subsequently placed in handcuffs. They further alleged that the officers caused damage to their vehicle during the incident.",2025-11-14,15:32:00,525,2400,25-0669,Male,Black,35,556
21-0499,10/26/2021 4:00:00,39,VERBAL ABUSE,"According to the complainant, on 9-5-21 at 2:00 AM, while in the confines of the 39th District, they were involved in an auto accident. When officers arrived, they refused to allow them to go to the hospital, even though they were bleeding profusely. The complainant states that at one point when they asked for help and requested transportation to the hospital, one of the officers told them that the other vehicle involved was their priority and for them to ask the medics instead. The complainant states the driver of the other vehicle was visibly intoxicated. When another officer agreed to take them, that officer asked for their information, during transportation, and never asked if they were okay. When they arrived at the hospital, the officer did not walk them in, which caused them to have a disturbance with security. After discovering that they were not mentioned in the report, they called the district and spoke to the officer that prepared it; the officer was rude.",2021-09-05,02:00:00,526,3900,21-0499,Female,Black,42,557
21-0500,10/28/2021 4:00:00,9,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 10-19-21 at 12:50 PM, while in the confines of the 9th District, a detective did not conduct a proper investigation during an arrest and property was improperly confiscated.",2021-10-19,12:50:00,527,0900,21-0500,Male,Black,59,558
21-0501,10/26/2021 4:00:00,9,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 10-21-21 at 7:00 AM, while in the confines of the 9th District, they noticed an officer beeping their horn every time the light turned green. The complainant states the officer was speeding, swerving in between cars, and made a wide turn before turning their lights on and pulling the complainant over. The complainant states the officer accused them of almost hitting their car. The complainant states the officer exited their car, yelling, and âgot in their faceâ with spit coming out of their mouth. The complainant states that the officer called them a âstupid idiot,â and made them read the side of their car while making a racist remark. The complainant also states that the officersâ body camera was off during this encounter and they refused to provide their rank and badge number.",2021-10-21,07:00:00,528,0900,21-0501,Male,Black,29,559
21-0502,10/25/2021 4:00:00,14,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 9-21-21 at 10:00 AM, while in the confines of the 14th District, officers responded to a report of a burglary. The complainant states that they later discovered that the report was prepared as a verbal dispute instead of a burglary. One of the officers ripped out the alarm system as ordered to do so by their sergeant who was on location.",2021-09-21,10:00:00,529,1400,21-0502,Female,Black,,560
21-0503,10/26/2021 4:00:00,14,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 10-22-21 at 9:00 PM, while in the confines of the 14th District, they were stopped by police. The complainant states that the officers did not ask for their identification or registration. The complainant states that when officers ordered them to step out of their vehicle, they were searched, along with their vehicle. The complainant asked the officer why where they searching their vehicle without a warrant and the officer said it was a frisk because there was a shooting in the area.",2021-10-22,21:00:00,530,1400,21-0503,Male,Black,30,561
